Id,item1,item2
0,40.74047,-74.009251
1,40.74137,-74.00893
2,40.743171,-74.008591
3,40.74623,-74.00797
4,40.74812,-74.007651
5,40.748701,-74.007691
6,40.74971,-74.00819
7,40.75048,-74.008321
8,40.751611,-74.00789
9,40.75375,-74.00704
10,40.75721,-74.00463
11,40.76003,-74.002631
12,40.73933,-74.01004
13,40.73895,-74.01012
14,40.7376,-74.010021
15,40.7346,-74.01026
16,40.72912,-74.010781
17,40.72619,-74.011131
18,40.76375,-73.999191
19,40.763521,-73.99935
20,40.7620804,-74.00136
21,40.75985,-74.00306
22,40.75775,-74.00457
23,40.75775,-74.00457
24,40.75576,-74.00601
25,40.7544904,-74.006921
26,40.7538404,-74.007241
27,40.75415,-74.00712
28,40.7502804,-74.00848
29,40.74833,-74.007771
30,40.7607,-74.002141
31,40.76212,-74.91
32,40.76335,-73.999271
33,40.76491,-73.99805
34,40.7667406,-73.996681
35,40.7693,-73.994801
36,40.7699605,-73.994521
37,40.7710104,-73.99438
38,40.7715106,-73.9942